"taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason"
22708822,"Turdus philomelos","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","TURDIDAE","Turdus","Song Thrush","Brehm, 1831",2018,"2018-08-09","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"23300000",2800,NA,NA,NA,NA,NA,NA,NA
22708819,"Turdus iliacus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","TURDIDAE","Turdus","Redwing","Linnaeus, 1766",2017,"2016-10-01","NT",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"13300000",NA,NA,NA,NA,NA,NA,TRUE,"Edited Conservation Actions and Threats Information text; and added new threats, a new Conservation Action Needed and references. Also added a new Facilitator/Compiler."
22708829,"Turdus viscivorus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","TURDIDAE","Turdus","Mistle Thrush","Linnaeus, 1758",2016,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"17000000",NA,600,NA,NA,NA,NA,NA,NA
22714445,"Cettia cetti","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","SCOTOCERCIDAE","Cettia","Cetti's Warbler","(Temminck, 1820)",2017,"2016-10-01","LC",NA,"Increasing",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"18000000",1450,NA,NA,NA,NA,NA,TRUE,"Map revised."
22713491,"Cisticola juncidis","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CISTICOLIDAE","Cisticola","Zitting Cisticola","(Rafinesque, 1810)",2017,"2016-10-01","LC",NA,"Increasing",TRUE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"129000000",3000,NA,NA,NA,NA,NA,TRUE,"Map revised."
22714657,"Locustella naevia","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","LOCUSTELLIDAE","Locustella","Common Grasshopper-warbler","(Boddaert, 1783)",2017,"2016-10-01","LC",NA,"Stable",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"16000000",NA,NA,NA,NA,NA,NA,TRUE,"Map updated: Deleted breeding season shade in C Spain; deleted breeding season shade in C Kazakhstan and N Uzbekistan. EOO updated."
22714684,"Locustella luscinioides","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","LOCUSTELLIDAE","Locustella","Savi's Warbler","(Savi, 1824)",2016,"2016-10-01","LC",NA,"Stable",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"4970000",1200,NA,NA,NA,NA,NA,NA,NA
22714700,"Acrocephalus schoenobaenus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Sedge Warbler","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Stable",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"20100000",NA,NA,NA,NA,NA,NA,NA,NA
22714741,"Acrocephalus palustris","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Marsh Warbler","(Bechstein, 1798)",2019,"2016-10-01","LC",NA,"Stable",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"2830000",NA,NA,NA,NA,NA,NA,TRUE,"Map updated: Passage range added. Updated EOO."
22714722,"Acrocephalus scirpaceus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Common Reed-warbler","(Hermann, 1804)",2019,"2016-10-01","LC",NA,"Stable",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"38000000",1400,NA,NA,NA,NA,NA,TRUE,"Map updated: Passage range added. Updated EOO."
22714916,"Hippolais icterina","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE","Hippolais","Icterine Warbler","(Vieillot, 1817)",2017,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"6350000",NA,NA,NA,NA,NA,NA,TRUE,"Map revised."
22716906,"Sylvia borin","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","SYLVIIDAE","Sylvia","Garden Warbler","(Boddaert, 1783)",2017,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"14700000",2300,NA,NA,NA,NA,NA,TRUE,"Added a country of occurrence and a Contributor. Edited Population Justification text."
22716901,"Sylvia atricapilla","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","SYLVIIDAE","Sylvia","Eurasian Blackcap","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"27800000",2200,NA,NA,NA,NA,NA,NA,NA
22715260,"Phylloscopus sibilatrix","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PHYLLOSCOPIDAE","Phylloscopus","Wood Warbler","(Bechstein, 1793)",2016,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"10700000",NA,NA,NA,NA,NA,NA,NA,NA
103843725,"Phylloscopus collybita","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PHYLLOSCOPIDAE","Phylloscopus","Common Chiffchaff","(Vieillot, 1817)",2019,"2016-10-01","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"14000000",3300,NA,NA,NA,NA,NA,TRUE,"Passage range added, updated EOO."
22715240,"Phylloscopus trochilus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PHYLLOSCOPIDAE","Phylloscopus","Willow Warbler","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Decreasing",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"22200000",1000,NA,NA,NA,NA,NA,NA,NA
22734997,"Regulus regulus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","REGULIDAE","Regulus","Goldcrest","(Linnaeus, 1758)",2018,"2018-08-09","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"50900000",4000,NA,NA,NA,NA,NA,NA,NA
22735002,"Regulus ignicapilla","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","REGULIDAE","Regulus","Common Firecrest","(Temminck, 1820)",2016,"2016-10-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"7610000",1600,NA,NA,NA,NA,NA,NA,NA
22709192,"Muscicapa striata","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","MUSCICAPIDAE","Muscicapa","Spotted Flycatcher","(Pallas, 1764)",2019,"2018-08-09","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"20600000",2200,NA,NA,NA,NA,NA,TRUE,"Passage range added, updated EOO."
22709308,"Ficedula hypoleuca","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","MUSCICAPIDAE","Ficedula","European Pied Flycatcher","(Pallas, 1764)",2018,"2018-08-09","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"5580000",NA,NA,NA,NA,NA,NA,NA,NA
22716776,"Panurus biarmicus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PANURIDAE","Panurus","Bearded Reedling","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Unknown",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"23700000",3050,NA,NA,NA,NA,NA,NA,NA
103871923,"Aegithalos caudatus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","AEGITHALIDAE","Aegithalos","Long-tailed Tit","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Stable",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"44600000",NA,NA,NA,NA,NA,NA,NA,NA
22735995,"Poecile palustris","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PARIDAE","Poecile","Marsh Tit","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Decreasing",TRUE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"30100000",2500,NA,NA,NA,NA,NA,TRUE,"Map edited: Deleted green spot in C Spain. Shaded coastal Georgia. Shaded Sicily.. EOO updated."
155139697,"Poecile montanus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PARIDAE","Poecile","Willow Tit","(Conrad von Baldenstein, 1827)",2019,"2019-07-31","LC",NA,"Decreasing",FALSE,TRUE,TRUE,"BirdLife International","Hermes, C.",NA,"33800000",4275,NA,NA,NA,NA,NA,NA,NA
22711810,"Lophophanes cristatus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PARIDAE","Lophophanes","Crested Tit","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"11600000",2300,NA,NA,NA,NA,NA,NA,NA
22735965,"Periparus ater","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PARIDAE","Periparus","Coal Tit","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"52500000",4570,NA,NA,NA,NA,NA,TRUE,"Shaded all Lebanon; enlarged shade to N Syria; deleted the gap in Nepal; shaded race kuatunensis in SE China (S Anhui S to NW Fujian); enlarged blue shade in E Europe and Kazakhstan."
103761667,"Cyanistes caeruleus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PARIDAE","Cyanistes","Eurasian Blue Tit","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"16600000",3500,NA,NA,NA,NA,NA,TRUE,"Map updated: Added gaps in S &amp; SE Spain (where very scarce). EOO updated. Edited Habitats and Ecology Information text."
22735990,"Parus major","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PARIDAE","Parus","Great Tit","Linnaeus, 1758",2016,"2016-10-01","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"89800000",4420,NA,NA,NA,NA,NA,NA,NA
103879804,"Sitta europaea","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","SITTIDAE","Sitta","Eurasian Nuthatch","Linnaeus, 1758",2018,"2018-08-09","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"51400000",2400,300,NA,NA,NA,NA,NA,NA
22735060,"Certhia familiaris","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CERTHIIDAE","Certhia","Eurasian Treecreeper","Linnaeus, 1758",2017,"2016-10-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"35200000",3000,NA,NA,NA,NA,NA,TRUE,"<br/>Map revised."
22711249,"Certhia brachydactyla","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CERTHIIDAE","Certhia","Short-toed Treecreeper","Brehm, 1820",2016,"2016-10-01","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"8570000",NA,NA,NA,NA,NA,NA,NA,NA
103692938,"Oriolus oriolus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ORIOLIDAE","Oriolus","Eurasian Golden Oriole","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"11500000",2400,NA,NA,NA,NA,NA,TRUE,"Added Taxonomic Notes and associated references, a Country of Occurrence and a Contributor."
103723684,"Garrulus glandarius","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CORVIDAE","Garrulus","Eurasian Jay","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"43100000",NA,NA,NA,NA,NA,NA,TRUE,"Map edited: Shaded S Japan and S Korea (see G. bispecularis). EOO updated."
103727048,"Pica pica","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CORVIDAE","Pica","Eurasian Magpie","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"58600000",NA,NA,NA,NA,NA,NA,TRUE,"<p>Minor change to Red List Rationale text, edits to seasonality in country occurrence tables, and added Taxonomic Notes and associated references.<br/></p>"
22705916,"Pyrrhocorax pyrrhocorax","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CORVIDAE","Pyrrhocorax","Red-billed Chough","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Decreasing",TRUE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"51300000",NA,NA,NA,NA,NA,NA,NA,NA
22705983,"Corvus frugilegus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CORVIDAE","Corvus","Rook","Linnaeus, 1758",2017,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"35400000",NA,NA,NA,NA,NA,NA,TRUE,"Map edited: Deleted resident range from Afganisthan and shaded as wintering NW India; shaded NW China. EOO updated."
22706016,"Corvus corone","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CORVIDAE","Corvus","Carrion Crow","Linnaeus, 1758",2017,"2016-10-01","LC",NA,"Increasing",TRUE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"81600000",NA,NA,NA,NA,NA,NA,TRUE,"Map edited: Shaded S Yunnan as winter range. EOO updated."
22706068,"Corvus corax","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CORVIDAE","Corvus","Common Raven","Linnaeus, 1758",2017,"2016-10-01","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"137000000",5000,NA,NA,NA,NA,NA,TRUE,"Edited Country of Occurrence."
22710886,"Sturnus vulgaris","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","STURNIDAE","Sturnus","Common Starling","Linnaeus, 1758",2019,"2018-10-31","LC",NA,"Decreasing",TRUE,FALSE,TRUE,"BirdLife International","Smith, D.",NA,"33200000",2000,NA,NA,NA,NA,NA,NA,NA
103818789,"Passer domesticus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PASSERIDAE","Passer","House Sparrow","(Linnaeus, 1758)",2019,"2016-10-01","LC",NA,"Decreasing",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"68500000",4500,NA,NA,NA,NA,NA,TRUE,"Map for UAE Range updated, updated EOO."
22718270,"Passer montanus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PASSERIDAE","Passer","Eurasian Tree Sparrow","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"98300000",NA,NA,NA,NA,NA,NA,TRUE,"Added a country to the list of countries of occurrence, and added a Contributor."
22720030,"Fringilla coelebs","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Fringilla","Common Chaffinch","Linnaeus, 1758",2019,"2018-08-09","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"23500000",NA,NA,NA,NA,NA,NA,TRUE,"Updated map: Added passage range. Added further resident range in Azores. EOO updated."
22720330,"Chloris chloris","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Chloris","European Greenfinch","(Linnaeus, 1758)",2018,"2018-08-09","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"23500000",NA,NA,NA,NA,NA,NA,NA,NA
103764950,"Carduelis carduelis","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Carduelis","European Goldfinch","(Linnaeus, 1758)",2019,"2019-06-12","LC",NA,"Decreasing",FALSE,TRUE,TRUE,"BirdLife International","Martin, R.",NA,"25100000",4200,0,NA,NA,NA,NA,NA,NA
22720354,"Spinus spinus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Spinus","Eurasian Siskin","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"33300000",NA,NA,NA,NA,NA,NA,TRUE,"Map revised and added Taxonomic Notes and associated references."
22720441,"Linaria cannabina","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Linaria","Common Linnet","(Linnaeus, 1758)",2018,"2018-08-09","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"27300000",NA,NA,NA,NA,NA,NA,NA,NA
22720438,"Linaria flavirostris","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Linaria","Twite","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"21400000",NA,NA,NA,NA,NA,NA,TRUE,"Map revised and added Taxonomic Notes and associated references."
22720638,"Loxia pytyopsittacus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Loxia","Parrot Crossbill","Borkhausen, 1793",2016,"2016-10-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"4500000",NA,NA,NA,NA,NA,NA,NA,NA
22720671,"Pyrrhula pyrrhula","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Pyrrhula","Eurasian Bullfinch","(Linnaeus, 1758)",2018,"2018-08-09","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"37600000",2500,1000,NA,NA,NA,NA,NA,NA
22720681,"Coccothraustes coccothraustes","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Coccothraustes","Hawfinch","(Linnaeus, 1758)",2017,"2016-10-01","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"33000000",NA,NA,NA,NA,NA,NA,TRUE,"Map revised."
22721043,"Plectrophenax nivalis","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","CALCARIIDAE","Plectrophenax","Snow Bunting","(Linnaeus, 1758)",2016,"2016-10-01","LC",NA,"Decreasing",TRUE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"43400000",NA,NA,NA,NA,NA,NA,NA,NA
22720878,"Emberiza citrinella","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","EMBERIZIDAE","Emberiza","Yellowhammer","Linnaeus, 1758",2016,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"21600000",NA,NA,NA,NA,NA,NA,NA,NA
22720888,"Emberiza cirlus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","EMBERIZIDAE","Emberiza","Cirl Bunting","Linnaeus, 1766",2018,"2018-08-09","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"6350000",NA,NA,NA,NA,NA,NA,NA,NA
22721012,"Emberiza schoeniclus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","EMBERIZIDAE","Emberiza","Reed Bunting","(Linnaeus, 1758)",2019,"2018-08-09","LC",NA,"Decreasing",FALSE,TRUE,TRUE,"BirdLife International","Wheatley, H.",NA,"39000000",NA,NA,NA,NA,NA,NA,TRUE,"Updated map: Added passage range. Redrew range in Iberia. EOO updated."
22721020,"Emberiza calandra","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","EMBERIZIDAE","Emberiza","Corn Bunting","Linnaeus, 1758",2019,"2018-08-07","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"22500000",500,NA,NA,NA,NA,NA,TRUE,"Map for UAE Range updated, updated EOO."
22718567,"Anthus petrosus","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","MOTACILLIDAE","Anthus","Rock Pipit","(Montagu, 1798)",2018,"2018-08-09","LC",NA,"Stable",TRUE,TRUE,TRUE,"BirdLife International","Wheatley, H.",NA,"3720000",400,NA,NA,NA,NA,NA,NA,NA
22679893,"Anser indicus","ANIMALIA","CHORDATA","AVES","ANSERIFORMES","ANATIDAE","Anser","Bar-headed Goose","(Latham, 1790)",2018,"2018-08-09","LC",NA,"Decreasing",FALSE,TRUE,TRUE,"BirdLife International","Wheatley, H.",NA,"5290000",5000,NA,NA,NA,NA,NA,NA,NA
22679919,"Anser canagicus","ANIMALIA","CHORDATA","AVES","ANSERIFORMES","ANATIDAE","Anser","Emperor Goose","(Sevastianov, 1802)",2016,"2016-10-01","NT",NA,"Decreasing",TRUE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"775000",NA,NA,NA,NA,NA,NA,NA,NA
22680061,"Cairina moschata","ANIMALIA","CHORDATA","AVES","ANSERIFORMES","ANATIDAE","Cairina","Muscovy Duck","(Linnaeus, 1758)",2018,"2018-08-09","LC",NA,"Decreasing",FALSE,TRUE,TRUE,"BirdLife International","Wheatley, H.",NA,"22200000",1000,NA,NA,NA,NA,NA,NA,NA
22725044,"Acanthis flammea","ANIMALIA","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE","Acanthis","Redpoll","(Linnaeus, 1758)",2019,"2018-08-09","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"19400000",NA,NA,NA,NA,NA,NA,TRUE,"Passage range added, updated extent of occurrence."
22680007,"Tadorna cana","ANIMALIA","CHORDATA","AVES","ANSERIFORMES","ANATIDAE","Tadorna","South African Shelduck","(Gmelin, 1789)",2016,"2016-10-01","LC",NA,"Increasing",FALSE,TRUE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"2160000",NA,NA,NA,NA,NA,NA,NA,NA
22736320,"Anas flavirostris","ANIMALIA","CHORDATA","AVES","ANSERIFORMES","ANATIDAE","Anas","Yellow-billed Teal","Vieillot, 1816",2016,"2016-10-01","LC",NA,"Decreasing",FALSE,TRUE,FALSE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"12200000",4400,NA,NA,NA,NA,NA,NA,NA
22679843,"Cygnus atratus","ANIMALIA","CHORDATA","AVES","ANSERIFORMES","ANATIDAE","Cygnus","Black Swan","(Latham, 1790)",2018,"2018-08-09","LC",NA,"Stable",TRUE,TRUE,TRUE,"BirdLife International","Wheatley, H.",NA,"9960000",NA,NA,NA,NA,NA,NA,NA,NA
45427277,"Myiopsitta monachus","ANIMALIA","CHORDATA","AVES","PSITTACIFORMES","PSITTACIDAE","Myiopsitta","Monk Parakeet","(Boddaert, 1783)",2018,"2018-08-09","LC",NA,"Increasing",FALSE,FALSE,TRUE,"BirdLife International","Wheatley, H.",NA,"3130000",1000,NA,NA,NA,NA,NA,NA,NA
22679435,"Pavo cristatus","ANIMALIA","CHORDATA","AVES","GALLIFORMES","PHASIANIDAE","Pavo","Indian Peafowl","Linnaeus, 1758",2016,"2016-10-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"4380000",2000,NA,NA,NA,NA,NA,NA,NA
62030970,"Larus michahellis","ANIMALIA","CHORDATA","AVES","CHARADRIIFORMES","LARIDAE","Larus","Yellow-legged Gull","J. F. Naumann, 1840",2019,"2019-08-19","LC",NA,"Increasing",TRUE,TRUE,TRUE,"BirdLife International","Smith, D.",NA,"12200000",NA,NA,NA,NA,NA,NA,NA,NA
22679555,"Numida meleagris","ANIMALIA","CHORDATA","AVES","GALLIFORMES","NUMIDIDAE","Numida","Helmeted Guineafowl","(Linnaeus, 1758)",2018,"2018-08-09","LC",NA,"Stable",FALSE,TRUE,TRUE,"BirdLife International","Wheatley, H.",NA,"24500000",3000,NA,NA,NA,NA,NA,NA,NA
22695838,"Parabuteo unicinctus","ANIMALIA","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE","Parabuteo","Harris's Hawk","(Temminck, 1824)",2016,"2016-10-01","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"BirdLife International","Butchart, S.H.M. & Symes, A.",NA,"34100000",1900,1000,NA,NA,NA,NA,NA,NA
